Class Index,Title,Description
4,Intel slashes Itanium prices as Madison looms - Analysis,"Intel has slashed prices across the board as it prepares to get behind new processor lines due this autumn. The Itanium server line has seen cuts of over 30 per cent, while prices for Intel #39;s fastest business  This report summarizes recent developments and background context."
1,Feds: Syrian Clampdown on Terror Positive (AP) - Analysis,"AP - A Syrian crackdown on terror groups would be the best way to halt violence in Syria and promote peace in the Middle East, the State Department said Monday after the assassination in Damascus of a leader of Hamas' bombing unit. This report summarizes recent developments and background context."
2,Report: Glazer soccer bid near - Analysis,"Malcolm Glazer, tycoon owner of the Tampa Bay Buccaneers, reportedly plans to bid more than \$1.2-billion to take control of British icon Manchester United, the world #39;s richest soccer team. This report summarizes recent developments and background context."
4,"Alien Contact More Likely by  quot;Mail quot; Than Radio, Study Says - Analysis","Researchers behind the study speculate that other life-forms may have already sent us messages, perhaps even as organic material embedded in asteroids that have struck Earth. This report summarizes recent developments and background context."
1,Colombia reveals plot to assassinate Bush - Analysis,"Colombian rebels plotted to assassinate George Bush during his brief stopover in the port of Cartagena last week, according to the country #39;s defence minister. This report summarizes recent developments and background context."
1,UN offers plan to calm tension along Rwanda-Congo border - Analysis,KINSHASA - The United Nations says it may have found a way to prevent the further escalation of tensions between Congo and Rwanda. This report summarizes recent developments and background context.
3,Oracle in Merger Talks with Other Firms - Analysis," SAN FRANCISCO (Reuters) - Oracle Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ORCL.O target=/stocks/quickinfo/fullquote""&gt;ORCL.O&lt;/A&gt; is in  merger talks with other technology companies as it awaits the  outcome of its \$9.2 billion hostile takeover bid for rival  software maker PeopleSoft Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=PSFT.O target=/stocks/quickinfo/fullquote""&gt;PSFT.O&lt;/A&gt;. This report summarizes recent developments and background context."
4,Bill Gates Gets 4 Million E-Mails a Day - Analysis,"Bill Gates might not use AOL, but he's definitely got mail. The Microsoft Corp. chairman receives millions of Internet messages a day, said Steve Ballmer, the company's chief executive. ""Bill literally receives 4 million pieces of e-mail per day, most of it spam,"" Ballmer said Thursday. This report summarizes recent developments and background context."
4,Thousands queue for Halo 2 - Analysis,Hordes of video game fans queued outside more than 6500 stores across the United States overnight on Tuesday to get a copy of the new Halo 2 game whose first day takings are expected to rival a Hollywood blockbuster. This report summarizes recent developments and background context.
4,JBoss 4.0 Released - Analysis,"JBoss, the self-proclaimed Professional Open Source company, released JBoss Application Server 4.0 today. The announcement follows closely behind the announcements of JBossCache 1.1 and the company #39;s new partnership with Sleepycat Software. This report summarizes recent developments and background context."
2,Stuttgart Closing on Qualification - Analysis,VfB Stuttgart went clear at the top of UEFA Group G with a convincing 3-0 win over Portuguese giants Benfica. Brazilian striker Cacau put Matthias Sammers side ahead and further  This report summarizes recent developments and background context.
2,Warne #39;s career - Analysis,1992: Makes Test debut against India in January. In two Tests against India his overall figures are 1-228. Australian wicketkeeper Rod Marsh invites him to return to the Adelaide Academy and his career is  This report summarizes recent developments and background context.
1,Saddam #39;s top aide al-Douri arrested - Analysis,"File photo taken on March 1, 2003 shows Izzat Ibrahim at the Arab Summit in Sharm-el-Sheikh, Egypt. Ibrahim, the second most powerful man of the former Iraqi regime, was captured on Sept. This report summarizes recent developments and background context."
3,Target Earns \$537 Million - Analysis,"Target Corp. , the No. 2 US discount retailer, on Thursday posted a higher quarterly profit on stronger sales and gains from selling its Mervyn #39;s department store chain, and forecast 2004 would end well. This report summarizes recent developments and background context."
3,Brown seeks to retain EU rebate - Analysis,Chancellor Gordon Brown has expressed his determination to retain the British rebate on its contributions to the European Union #39;s annual budget. This report summarizes recent developments and background context.
3,US Airways to Cut Hundreds of Jobs - Analysis,"US Airways Group Inc. plans to eliminate ""hundreds"" of management and nonunion jobs and cut top executives' pay by between 5 and 10 percent. This report summarizes recent developments and background context."
3,Earnings Improve at Japanese Electronics Firms - Analysis,"The Japanese electronics makers remained cautious about the months ahead, citing worries about global growth. Japanese corporate profits are almost certain to be hurt by any economic slowdown in Japan and in the United States. This report summarizes recent developments and background context."
1,"As French school year begins, Iraq crisis tests head scarf ban - Analysis","PARIS -- School doors open for 12 million French children today, but there is far more at stake this year than back-to-school jitters. This report summarizes recent developments and background context."
3,Australia Babcock  amp; Brown To Pursue Listed Investment Co - Analysis,SYDNEY (Dow Jones)--Babcock  amp; Brown Ltd. (BNB.AU) said Monday it plans to raise as much as A\$1 billion for an externally managed investment company to target long-term investments. This report summarizes recent developments and background context.
1,Republican Convention Dogged by Relentless Protests (Reuters) - Analysis,Reuters - Five thousand people protesting high\job losses formed a 3 mile unemployment line in Manhattan on\Wednesday and AIDS activists disrupted a Republican meeting on\the third day of the party's convention to nominate the\president to a second term in office. This report summarizes recent developments and background context.
4,AOL aims to boost IM on mobiles - Analysis,"AOL has kicked off an initiative designed to make it easier for developers to engineer, test and distribute licensed AOL Instant Messenger (AIM) clients for mobile devices. This report summarizes recent developments and background context."
1,Musharraf meets Pope John Paul - Analysis,"Pakistan President General Pervez Musharraf met Pope John Paul II, who urged him to adopt a  quot;spirit of dialogue and tolerance quot; in his region. This report summarizes recent developments and background context."
3,"Telecom equipment maker Agere to cut 500 employees, 7.6 of &lt;b&gt;...&lt;/b&gt; - Analysis","Telecommunications equipment maker Agere Systems Inc. said Wednesday it will lay off 500 employees, or 7.6 per cent of its workforce, as part of a corporate restructuring. This report summarizes recent developments and background context."
3,China at G-7 Meeting for First Time - Analysis,"China made its debut last night in the club of the world's leading economic powers, asinternational pressure mounts to change a decade-old currency peg that critics accuse of giving Chinese products an unfair competitive edge. This report summarizes recent developments and background context."
1,Japan Airlines Sees Profit on Int'l Travel (AP) - Analysis,AP - Japan Airlines Corp. said Friday that it returned to profitability in first half of the fiscal year as international travel picked up from a decline a year ago caused by the war in Iraq and the SARS outbreak in Asia. This report summarizes recent developments and background context.
1,Florida Supreme Court puts Nader on state ballot (AFP) - Analysis,"AFP - The Florida Supreme Court has ruled that third-party presidential hopeful Ralph Nader can appear on ballots in the decisive state, increasing the chance the maverick contender will again influence the outcome of the presidential election. This report summarizes recent developments and background context."
3,NTL to shed broadcasting arm - Analysis,"Britain #39;s biggest cable company, NTL, agreed yesterday to sell its radio and television broadcasting business for 1.27bn to a consortium led by a fund managed by Australia #39;s Macquarie Bank. This report summarizes recent developments and background context."
2,"Redskins lose, Kerry hopes for win - Analysis","TAMPA. Fla. First it was the Boston Red Sox World Series win that had John Kerry grinning, now another sports event has him feeling good. This report summarizes recent developments and background context."
1,Liberals enter political minefield of minority government starting Monday (Canadian Press) - Analysis,Canadian Press - OTTAWA (CP) - A chastened Liberal government will find itself relying on support from the very opponents it steamrollered for over a decade when Prime Minister Paul Martin begins steering his party through the first minority Parliament in a quarter-century. This report summarizes recent developments and background context.
2,Mauresmo breezes through - Analysis,Amelie Mauresmo comfortably came through her first match since taking over at the top of the world rankings. The Frenchwoman reached the quarter-finals of the Porsche Grand Prix in Filderstadt with a 7-5 6-4 win over Switzerland #39;s Patty Schynder. This report summarizes recent developments and background context.
2,Ramirez should be taking it to heart - Analysis,"When it comes down to this, when it's worse than you could have possibly imagined, if you are any kind of ballplayer at all, you look within and ask yourself what you can do to make it better. This report summarizes recent developments and background context."
1,"Afghan Refugees Vote in Pakistan, Iran - Analysis","Troops of Pakistani para-military force check Afghan refugee voters before they enter in polling station to vote in Afghanistan #39;s presidential election at Jallozai camp near Peshawar, Pakistan on Saturday, Oct. 9, 2004. This report summarizes recent developments and background context."
3,Delta Air May File Bankruptcy Soon-Report - Analysis,"Delta Air Lines Inc. (DAL.N: Quote, Profile, Research) could file for Chapter 11 bankruptcy protection as soon as next week, the Washington Post reported in its Saturday edition, citing an unnamed source familiar with the situation. This report summarizes recent developments and background context."
2,Gordon favored in  #39;chase #39; - Analysis,"LOUDEN, NH -- Right now, things are going Jeff Gordon #39;s way. That should enhance his chances of winning a fifth NASCAR championship. This report summarizes recent developments and background context."
3,White House May Pick Bernanke - Analysis,"The White House, seeking a strong economic team to craft and sell key features of its second-term agenda, is considering tapping Federal Reserve Board member Ben S. Bernanke to serve as chairman  This report summarizes recent developments and background context."
4,Studios Attack BitTorrent - Analysis,The Motion Picture Association of America is retargeting its legal battle against file swappers by launching attacks against the server operators behind the BitTorrent and eDonkey services. This report summarizes recent developments and background context.
4,IBM embraces grid converts - Analysis,"On the eve of a grid-computing conference, Big Blue says five companies and the EPA have plans to build grids. This report summarizes recent developments and background context."
2,Hamstring Shelves Moss - Analysis,Vikings receiver Randy Moss will miss his first game as a pro on Monday night against the Colts with a recurring hamstring strain that requires rest. This report summarizes recent developments and background context.
2,Torch passed on winning goal - Analysis,"ATHENS -- America #39;s gold-medal soccer players don #39;t just say goodbye; they say hello.  quot;The thing I love, quot; retiring captain Julie Foudy said,  quot;is that Tarpley and Wambach scored. This report summarizes recent developments and background context."
4,"Microsoft, Sun, Intel push IT management via Web services (InfoWorld) - Analysis",InfoWorld - Microsoft and Sun Microsystems on Thursday are publishing a specification to leverage Web services for managing a broad range of IT systems including PCs and devices on a network. This report summarizes recent developments and background context.
4,Sci/Tech - Virus gang wars on the Web - Analysis,"Following his arrest in May, the teenage computer wizard admitted to police he wrote the code for Sasser and more than two dozen Netsky viruses that wreaked havoc across the Internet during the first few months of 2004. This report summarizes recent developments and background context."
3,Dollar Drops Further as Central Banks Reassess Reserves - Analysis,The falling dollar reached new depths against the euro today as the dollar's status as the premier international reserve currency is growing more precarious. This report summarizes recent developments and background context.
2,Athletics: Dominant Phillips takes long jump gold - Analysis,ATHENS - Dwight Phillips of the United States completed a hat-trick of global long jump titles when he crushed the field with his opening leap in Thursday #39;s final to win Olympic gold. This report summarizes recent developments and background context.
2,Tougher rules won't soften Law's game - Analysis,"FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best cornerback in football, chooses physical play over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the field much as Deion Sanders ... This report summarizes recent developments and background context."
2,"With Ban Pending, Hamilton Loses Ride - Analysis","Tyler Hamilton, who won an Olympic gold medal for the United States in Athens, was fired last Thursday by Phonak, his Swiss cycling team, two months after testing positive for illegal blood transfusions. This report summarizes recent developments and background context."
3,UPDATE 1-J amp;J in talks to buy Guidant - sources - Analysis,"Health care and consumer products maker Johnson  amp; Johnson (JNJ.N: Quote, Profile, Research) is in negotiations to acquire medical-device maker Guidant Corp. This report summarizes recent developments and background context."
4,Dell Offers SUSE on Servers - Analysis,"Dell (Quote, Chart) officials announced Wednesday an agreement with Linux distributor Novell (Quote, Chart) to distribute and support SUSE Enterprise Server 9 on its single- and dual-processor line of servers. This report summarizes recent developments and background context."
2,Catch a piece of history but hire a lawyer first - Analysis,"When Steve Williams picked up the ball Barry Bonds had just hit for his 700th home run, he thought he had his hands on a piece of history. This report summarizes recent developments and background context."
2,Reggae Boyz Head to World Cup Qualifier (AP) - Analysis,"AP - Jamaica's soccer team left Monday for Columbus, Ohio, where it will play the United States in a crucial World Cup qualifying match. This report summarizes recent developments and background context."
1,Kerry Challenges Bush Record on Issues - Analysis,"DETROIT - Sen. John Kerry accused President Bush on Wednesday of presiding over an ""excuse presidency,"" challenging Bush's credibility on jobs, the record national deficit and the war in Iraq... This report summarizes recent developments and background context."
4,Signs of a Glut and Lower Prices on Thin TV's - Analysis,Dont buy that high-definition TV yet. Competition may force the prices down further. This report summarizes recent developments and background context.
3,US Airways' Unions Brace to Fight Deep Cuts - Analysis,"US Airways' 28,000 employees waited last night for the airline to file a petition with the judge in its bankruptcy proceeding, seeking to void existing labor contracts and impose a 23 percent pay cut on workers. This report summarizes recent developments and background context."
4,Wireless carriers: Privacy bill not needed - Analysis,"WASHINGTON - Representatives of wireless telephone carriers planning a telephone directory service told a U.S. Senate committee Tuesday that legislation to protect their customers' privacy isn't needed, because their plan already does. This report summarizes recent developments and background context."
2,"Ortiz, Sox rally to fight another day: Sink Yanks in 14, send &lt;b&gt;...&lt;/b&gt; - Analysis","The official crowd at Fenway Park last night was a capacity 35,120, but as the years pass, the number of people who claim to have attended the Red Sox stats, schedule #39; 5-4, 14-inning victory  This report summarizes recent developments and background context."
1,Britain Ups Anti-Terror Security Spending (AP) - Analysis,"AP - The Sept. 11 attacks on America forced Prime Minister Tony Blair's government to ponder a troubling question: Could terrorists pull off something similar, or even worse, in London or another big British city? The answer, they concluded, was yes. This report summarizes recent developments and background context."
1,U.S. Alerts Schools About Terror Threat - Analysis,"WASHINGTON - The Education Department has advised school leaders nationwide to watch for people spying on their buildings or buses to help detect any possibility of terrorism like the deadly school siege in Russia.    The warning follows an analysis by the FBI and the Homeland Security Department of the siege that killed nearly 340 people, many of them students, in the city of Beslan last month... This report summarizes recent developments and background context."
2,Kluivert gives Souness stuttering start at Newcastle - Analysis,"Patrick Kluivert struck twice as Graeme Souness began his reign at St James Park with a 2-0 win over Israeli Arab side Bnei Sakhnin in the UEFA Cup first round, first leg at Newcastle United this morning. This report summarizes recent developments and background context."
2,"Jags Cut Compton, Maddox (AP) - Analysis",AP - Veteran offensive lineman Mike Compton and rookie defensive tackle Anthony Maddox were among the 12 players cut by the Jacksonville Jaguars on Sunday. This report summarizes recent developments and background context.
4,Corning begins work on Taiwan LCD facility - Analysis,"Encouraged by the demand for LCDs, glass maker Corning on Thursday said it has broken ground for a second manufacturing facility in Taiwan. This report summarizes recent developments and background context."
4,Solar spacecraft set to launch next year - Analysis,"The \$4 million Cosmos 1 project is backed by The Planetary Society, co-founded by Carl Sagan. By The Associated Press. A solar sail spacecraft designed to be propelled by the pressure of sunlight will be launched  This report summarizes recent developments and background context."
1,U.S. Urges China to Push for More N.Korea Talks - Analysis, BEIJING (Reuters) - Secretary of State Colin Powell urged  China on Monday to exert its influence over North Korea to  resume stalled talks on scrapping its nuclear weapons programs  and pressed Beijing to accept a Taiwan offer of talks. This report summarizes recent developments and background context.
4,Dell upgrades high-performance cluster line - Analysis,"To boost performance for high-end users, Dell Inc. is upgrading its high-performance computing clusters by adding support for larger Topspin InfiniBand switches and PCIe host channel adapters. This report summarizes recent developments and background context."
2,Athletics: Dominant Phillips takes long jump gold - Analysis,ATHENS - Dwight Phillips of the United States completed a hat-trick of global long jump titles when he crushed the field with his opening leap in Thursday #39;s final to win Olympic gold. This report summarizes recent developments and background context.
4,"Sony, Matsushita, Sharp to launch Blu-ray Disc camcorders in 2005 &lt;b&gt;...&lt;/b&gt; - Analysis","TOKYO (AFX) - Firms that are supporting one of the next-generation optical DVD formats, the Blu-ray Disc, plan to release camcorders that record on smaller versions of the discs as early as 2005, the Nihon Keizai Shimbun reported, without citing sources. This report summarizes recent developments and background context."
1,Analysis: Iran #39;s missile capabilities - Analysis,"Iran has announced it has improved its missile capabilities by developing a medium-range ballistic missile, with abilities to work on longer range systems -- a steady progress that  This report summarizes recent developments and background context."
2,Connors rallying cry for British tennis - Analysis," quot;Do you have it in your heart? How much guts do you have? How much do you hate to lose? quot;. These are the questions Jimmy Connors will be asking of Britain #39;s brightest tennis hopes in the months, and possibly years, to come. This report summarizes recent developments and background context."
2,49ers #39; home to be renamed Monster Park after stereo cable company - Analysis,Some fans think 44-year-old Candlestick Park is already a dinosaur. Now the San Francisco 49ers #39; home stadium has the name to match. This report summarizes recent developments and background context.
2,"GAME DAY RECAP Sunday, August 22 - Analysis","Aramis Ramirez hit a three-run homer, Moises Alou also homered and the Chicago Cubs beat the Houston Astros 11-6 on Sunday in the testy conclusion of a three-game series between the NL Central rivals. This report summarizes recent developments and background context."
1,Poland to Cut One-Third of Its Troops in Iraq - Analysis,Poland #39;s defense minister Jerzy Szmajdzinski has announced plans to cut his country #39;s forces in Iraq by almost one third next year. This report summarizes recent developments and background context.
2,Dodgers ready for anything - Analysis,"com. When Dodgers coach Glenn Hoffman makes out the daily schedule of Spring Training drills, there are entries for pickoffs and cutoffs, bunt situations and hit-and-runs. This report summarizes recent developments and background context."
2,Patriots #39; game: New England beats Jets for 21st win in a row - Analysis,"While not pleased, the Jets were neither surprised at the outcome of their showdown against the Patriots, nor downcast about their future. This report summarizes recent developments and background context."
1,Calif. OKs World's Toughest Smog Rules - Analysis,"LOS ANGELES - California air regulators Friday unanimously approved the world's most stringent rules to reduce auto emissions that contribute to global warming - a move that could affect car and truck buyers from coast to coast.    Under the regulations, the auto industry must cut exhaust from cars and light trucks by 25 percent and from larger trucks and sport utility vehicles by 18 percent... This report summarizes recent developments and background context."
1,India's low-cost airline eyes business travel (AFP) - Analysis,"AFP - India's pioneer low-cost carrier Air Deccan plans to raise 50 million dollars in private equity by shedding a 26 percent stake and also aims to enter the corporate business jet segment, its chairman said. This report summarizes recent developments and background context."
4,Gone Phishing? - Analysis,"Zastrossi writes  quot;According to the Anti-Phishing Working Group, phishing sites--the practice of making sites that look and act like popular sites such as banks in order to steal personal information from customers--rose from 543 sites in September to  This report summarizes recent developments and background context."
1,Saddam #39;s jailed top aides hold food protest - Analysis,"Eight of 11 detainees briefly refuse food over prisoner rights including family visits, access to media. BAGHDAD - The US army said eight of toppled Iraqi leader Saddam Hussein #39;s jailed lieutenants had briefly  This report summarizes recent developments and background context."
2,A shot in the arm for all - Analysis,"OLYMPIA, Greece -- A brilliant idea, taking the shot put back to the birthplace of the Olympic Games, proving, if nothing else, that everything old really can become new again.  This report summarizes recent developments and background context."
2,Eagles sign cornerback Brown to six-year deal - Analysis,"Sheldon Brown signed a six-year extension with Philadelphia on Thursday, keeping the second-year cornerback with the Eagles through the 2012 season. This report summarizes recent developments and background context."
3,"Motorola to Cut 1,000 Jobs, Take Charge - Analysis"," NEW YORK (Reuters) - Telecommunications equipment maker  Motorola Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MOT.N target=/stocks/quickinfo/fullquote""&gt;MOT.N&lt;/A&gt; said on Tuesday that it would cut 1,000  jobs and take charges of about \$50 million for severance  benefits as it tries to increase productivity. This report summarizes recent developments and background context."
4,Thomson joins takeover bid for ContentGuard - Analysis,Thomson joined Microsoft and Time Warner on Monday in trying to take control of U.S. digital rights management (DRM) company ContentGuard Holdings. This report summarizes recent developments and background context.
3,Auto sales rise; Asians gain share - Analysis,Consumers shrugged off higher gasoline prices and weaker economic conditions to lift new car and truck sales up 2.2 percent in October. This report summarizes recent developments and background context.
3,"Thanks for the Pageviews, Ivan - Analysis",Bad weather has been very good for business at Weather.com and other popular forecasting sites. They are posting record traffic in the wake of Hurricane Ivan's arrival on the mainland. By Joanna Glasner. This report summarizes recent developments and background context.
2,Hayden walks into strife - Analysis,Spirit of Australia was on the skids last night after another example of double standards by the home side marred the opening day of the second cricket test against New Zealand in Adelaide. This report summarizes recent developments and background context.
1,Telescope snaps distant 'planet' - Analysis,The first direct image of a planet circling another star may have been obtained by a US-European team of astronomers. This report summarizes recent developments and background context.
2,"Upstarts Guatemala, Panama Face Crunch Qualifiers - Analysis", RIO DE JANEIRO (Reuters) - Upstarts Guatemala and Panama  face crunch matches against more experienced CONCACAF opponents  Saturday as they continue their quest to qualify for a first  World Cup. This report summarizes recent developments and background context.
4,US Spacecraft to Probe Origin of Gamma Rays Far Beyond Our Galaxy - Analysis,"The US space agency, NASA, launched a satellite Saturday that scientists hope will help them locate the sources of mysterious gamma ray explosions, the  This report summarizes recent developments and background context."
4,"Recording Industry, File-Share Face Off - Analysis",The next chapter in the global legal battle between the recording industry and file-sharing services is due to unfold here Monday when the owners of the hugely popular Kazaa software go on trial on civil copyright infringement charges. This report summarizes recent developments and background context.
1,"Moscow Rail Station Evacuated on Bomb Threat, Interfax Says - Analysis",Moscow police are conducting a partial evacuation at the Kursk railway station in central Moscow as they search for explosives after receiving an anonymous phone call from a man threatening  This report summarizes recent developments and background context.
1,3 UN staff kidnapped in Afghan capital - Analysis,"Unknown armed men in military uniform kidnapped three staff of the United Nations in the Afghan capital city at broad daylight Thursday, Afghan officials confirmed. This report summarizes recent developments and background context."
4,Avaya to buy German IP telephony vendor - Analysis,"U.S. telecommunications equipment maker Avaya Inc. increased its presence in Europe to the tune of about \$635 million on Tuesday, agreeing to acquire German enterprise communications vendor Tenovis GmbH   Co. KG. This report summarizes recent developments and background context."
4,Star Wars Battlefront; Sly 2: Band of Thieves; MacFamily Tree 4.0.6 - Analysis,"Hearing a Jar Jar Binks-lookalike Gungan yell ""Meesa gonna die!"" as my droid tank shot him point-blank may have been the best part of this game. This report summarizes recent developments and background context."
2,Jaguar Exit Throws F1 Deeper Into Turmoil - Analysis," LONDON (Reuters) - Formula One, already struggling to shape  its future and put on a show, is staring into the abyss after  Ford's decision to pull out and sell its Jaguar team. This report summarizes recent developments and background context."
3,Continental won #39;t make pension contributions this year - Analysis,"Continental Airlines announced today it will not make any contributions to its pension plan this year, citing as reasons the ongoing uncertainty of the industry #39;s economic environment and the record high cost of jet fuel. This report summarizes recent developments and background context."
2,Sloppy win suits Badgers - Analysis,"TUCSON -- Booker Stanley ran for a career-high 135 yards on 30 carries, including a 7-yard run for Wisconsin's only touchdown, and the 20th-ranked Badgers rallied for a stormy 9-7 victory over Arizona yesterday. This report summarizes recent developments and background context."
2,Barcelona crush Malaga 4-0 - Analysis,"MADRID, Dec. 5. - Samuel Etoo scored twice to help FC Barcelona beat Malaga 4-0 and extend its lead in the Spanish league to 10 points. This report summarizes recent developments and background context."
3,More buyers choose artificial - Analysis,"Renee McDonald remembers the Christmas trees of her youth: spindly, fake and out of a box. They were hard to put up, and they just didn #39;t smell right. This report summarizes recent developments and background context."
1,Italian PM #39;s transplant confirmed - Analysis,"After days of speculation sparked by the white bandanna worn by Mr Berlusconi on holiday in Sardinia, Piero Rosati said the results of the operation would show in a couple of months. This report summarizes recent developments and background context."
2,"Gray, Demon Deacons Swing Back In Action, Seek To Shoot Down &lt;b&gt;...&lt;/b&gt; - Analysis",Justin Gray has had an ample amount of time to get his shooting stroke ready. Gray and No. 6 Wake Forest are back in action after an eight-day break when they visit Temple on Monday. This report summarizes recent developments and background context.
3,Wal-Mart Keeps Its September Sales View - Analysis,"Wal-Mart Stores Inc. (WMT.N: Quote, Profile, Research) on Monday maintained its September sales forecast and said back-to-school demand picked up for key categories including electronics and clothing after a sluggish start. This report summarizes recent developments and background context."
1,Kidnapped Italian freed in southern Philippines (AFP) - Analysis,"AFP - An Italian aid worker walked free from the southern Philippines jungle, a day after he was abducted by local gunmen. This report summarizes recent developments and background context."
1,Terreblanche challenges SA arrest - Analysis,White supremacist Eugene Terreblanche is detained after allegedly breaking the terms of his parole. This report summarizes recent developments and background context.
4,"Quicken, Money Duel to a Draw (washingtonpost.com) - Analysis",washingtonpost.com - The Intuit-Microsoft battle for supremacy in the personal-finance software market is as long-running as some sports rivalries -- except that few users seem to care all that much about the outcome of this contest. This report summarizes recent developments and background context.
3,SBC and Yahoo! extend pact to offer Internet service - Analysis,"SAN ANTONIO SBC Communications and Yahoo are expanding their high-speed Internet service partnership to link video, wireless phone, Internet and other services. This report summarizes recent developments and background context."
4,Seagate to Ship 400 GB HDD - Analysis,SL: Seagate Technology has announced that it will begin shipping the world #39;s highest capacity PC hard drive to retail stores and resellers. This report summarizes recent developments and background context.
4,MSN Messenger difficulties - Virus - Analysis,"People using Microsoft #39;s instant-messaging software, MSN Messenger, may have been a mite lonely this weekend, with only a virus to keep them company. This report summarizes recent developments and background context."
1,"A perfect storm of political peril, unless... - Analysis","The extended train wreck that has been American-dominated Iraq is winding its way toward a decisive intersection: the national elections scheduled for Jan. 30, 2005, where voters will be asked  This report summarizes recent developments and background context."
3,Alaskan pipeline has hurdles - Analysis,Energy companies planning a \$20 billion gas pipeline to US consuming markets from Alaska welcomed new federal loan guarantees but cautioned Tuesday that other issues must be resolved before the huge project proceeds. This report summarizes recent developments and background context.
1,Israeli tank reportedly kills Egyptian troops - Analysis,"An Israeli tank has opened fire and killed three Egyptian troops on the sensitive border between the two countries, mistaking them for Palestinian militants on the way to carry out an attack, Israeli media says. This report summarizes recent developments and background context."
3,"CBOE to sell stake in National exchange, buy CBOT rights - Analysis",The Chicago Board Options Exchange said Tuesday its directors approved steps to reduce its financial ties to two other exchanges in town. This report summarizes recent developments and background context.
3,Concerns About Winter Push Oil to Record - Analysis, SINGAPORE (Reuters) - Oil prices broke into new record  territory above \$52 Thursday on heightened concerns that  supplies of heating fuels will prove inadequate during the  northern hemisphere winter. This report summarizes recent developments and background context.
1,"Chechens Vote for New Leader, 'Bomber' Kills Self - Analysis"," ZNAMENSKOYE, Russia (Reuters) - Chechens voted Sunday for a  new president in a tense election, but many doubted the  Moscow-backed police officer who was set to win would manage to  stamp out rebellion in the turbulent region. This report summarizes recent developments and background context."
1,Sudan vows to restore order to Darfur but calls for African peacekeepers (AFP) - Analysis,"AFP - Sudan will take the lead in restoring order to its rebellious Darfur region but needs the support of African peacekeepers and humanitarian aid, Foreign Minister Mustafa Osman Ismail said. This report summarizes recent developments and background context."
3,"DreamWorks, Pixar rule digital animation - Analysis","DreamWorks and Pixar both make cutting-edge digital animated films. But behind the scenes, the two studios are about as different as Shrek and Mr. This report summarizes recent developments and background context."
2,Islamic threaten women #39;s soccer tournament in Bangladesh - Analysis,The organizers of Bangladesh #39;s first women #39;s soccer tournament promised to keep playing despite protests by a Muslim group that called the event  quot;indecent and against Islamic norms quot;. This report summarizes recent developments and background context.
1,Afghan court convicts US trio of torture - Analysis,"KABUL, Afghanistan -- Three Americans -- led by a former Green Beret who boasted he had Pentagon support -- were found guilty yesterday of torturing Afghans in a private jail and were sentenced to prison. This report summarizes recent developments and background context."
3,"Multiplex, Westfield in UK bid - Analysis",SHOPPING centre giant Westfield Group has drafted rival Multiplex and the billionaire Reuben brothers into its pound stg. 585 million (\$1. This report summarizes recent developments and background context.
1,Romania Faces Hung Parliament Risk After Vote - Analysis," BUCHAREST (Reuters) - Romania faced weeks of uncertainty on  Monday after inconclusive general elections in the poor Balkan  country, already struggling to stay on track to join the  European Union.  Partial results showed the ruling ex-communist Social Democrats  (PSD) of Prime Minister Adrian Nastase a whisker ahead of the  opposition centrists in Sunday's election but well short of a  majority in parliament. This report summarizes recent developments and background context."
3,"Update 1: Toshiba, TCL to Cooperate on Appliances - Analysis","Focusing on the fast-growing Chinese market, Japan #39;s Toshiba and major Chinese appliance maker TCL have signed a broad agreement to cooperate in making and marketing appliances in China, the companies said Thursday. This report summarizes recent developments and background context."
4,Baby for ovary transplant woman - Analysis,A Belgian cancer patient made infertile by chemotherapy has given birth following revolutionary treatment. This report summarizes recent developments and background context.
1,Israeli tank reportedly kills Egyptian troops - Analysis,"An Israeli tank has opened fire and killed three Egyptian troops on the sensitive border between the two countries, mistaking them for Palestinian militants on the way to carry out an attack, Israeli media says. This report summarizes recent developments and background context."
1,U.S. Says New Images Show Iran Plans Nuclear Bomb - Analysis," VIENNA (Reuters) - A senior U.S. official said on Thursday  that satellite photographs of a suspected nuclear industrial  site in Iran demonstrated its intention to develop atomic  weapons, an allegation Tehran dismissed as ""a new lie."" This report summarizes recent developments and background context."
